Collections, Betas
Unstoppable Domains,-10.587033099992876
We Are All Going to Die,-1.6735936438200658
The Art of Seasons,-0.8720219501847428
Akumu Dragonz,-0.7763463344921957
3Landers,-0.6908496644789257
Sandbox's LANDs,-0.6823899159267395
Art Blocks,-0.5643507223257741
Doodles,-0.5249185032280484
goblintown,-0.5218398797160335
VIVID,-0.43949244478167143
Azuki,-0.4247685354379157
Opium Network Position Token,-0.32626447716956913
ShitBeast,-0.2847646318205058
Karafuru Gachapon,-0.2563692371987104
AIMoonbirds,-0.25247776144299644
Genesis,-0.2231589171212092
Dooplicator,-0.186567663517904
mfer,-0.17561356113491947
VeeFriends Series 2,-0.055721071739565115
CloneX,-0.027444663846706564
Nouns,-0.01692849619468692
Milady,-0.014425705311354944
Invisible Friends,0.022540939047575627
Cool Cats,0.026026017148061475
Moonbirds,0.026114349732262686
PROOF Collective,0.056829274181341066
BoredApeKennelClub,0.0636364295895898
BoredApeYachtClub,0.08057174236009744
CPG Pop,0.1243732731798791
MutantApeYachtClub,0.1477571999694486
projectPXN,0.17705795097406243
BBRC OFFICIAL - IVY BOYS,0.33901532764202663
Moonbirds Oddities,0.3430603823358514
Boki,0.3599881388741997
DEGEN TOONZ,0.5339796899627536
Otherdeed,0.6731030495863799
ForgottenRunesWarriorsGuild,0.7222339708575539
